"time","votecount"
1467106212.89233,3930960
1467106511.84732,3931619
1467106811.89677,3932243
1467107112.08486,3932908
1467107411.76567,3933526
1467107712.51153,3934160
1467108012.03442,3934752
1467108312.08966,3935373
1467108611.61919,3935931
1467108912.09669,3936519
1467109212.33851,3937168
1467109511.76949,3937738
1467109812.05763,3938304
1467110111.71631,3938856
1467110411.66102,3939445
1467110711.2767,3939985
1467111011.71239,3940539
1467111311.24153,3941152
1467111612.63071,3941741
1467111911.79883,3942268
1467112211.9518,3942829
1467112511.75244,3943372
1467112811.78065,3943938
1467113111.56765,3944468
1467113411.98254,3944993
1467113712.79747,3945525
1467114011.85092,3946068
1467114311.89961,3946660
1467114612.04632,3947218
1467114912.48111,3947747
1467115212.30413,3948281
1467115511.77166,3948814
1467115812.16813,3949331
1467116111.72881,3949893
1467116711.30966,3951014
1467117012.22656,3951578
1467117311.94995,3952131
1467117612.44503,3952683
1467117911.75171,3953230
1467118211.6393,3953744
1467118511.69057,3954249
1467118812.8948,3954769
1467119112.0269,3955218
1467119412.24725,3955669
1467119712.36209,3956139
1467120011.68569,3956620
1467120312.18713,3957107
1467120612.0957,3957592
1467120911.83813,3958008
1467121211.77759,3958442
1467121512.10407,3958860
1467121811.54734,3959337
1467122112.06984,3959761
1467122412.62865,3960253
1467122712.13224,3960676
1467123012.16309,3960508
1467123311.93964,3961072
1467123612.17985,3961653
1467123911.64335,3962335
1467124213.09061,3962740
1467124512.30869,3963113
1467124812.32982,3963548
1467125111.39959,3963987
1467125411.52994,3964438
1467125711.85846,3964826
1467126012.93522,3965257
1467126311.08176,3965665
1467126611.42166,3966070
1467126911.93578,3966508
1467127211.1768,3966938
1467127511.44328,3967369
1467127812.50615,3967794
1467128111.86319,3968236
1467128412.06017,3968659
1467128712.48329,3969064
1467129012.1438,3969572
1467129311.54848,3970041
1467129612.22546,3970524
1467129912.08458,3970973
1467130211.73471,3971406
1467130512.26256,3971838
1467130811.57045,3972262
1467131111.4677,3972715
1467131412.49828,3973164
1467131711.57942,3973568
1467132011.83863,3974001
1467132311.94605,3974458
1467132611.71717,3974905
1467132911.34009,3975297
1467133212.71584,3975740
1467133512.22966,3976145
1467133811.40403,3976538
1467134411.57486,3977431
1467134711.78832,3977840
1467135014.13799,3978269
1467135311.35234,3978703
1467135612.49194,3979178
1467135912.03172,3979583
1467136212.25805,3980041
1467136511.73465,3980442
1467136812.00182,3980866
1467137112.10317,3981189
1467137412.0598,3981602
1467137712.74298,3982017
1467138011.78711,3982440
1467138311.74792,3982789
1467138612.69807,3983209
1467138912.03402,3983572
1467139211.67311,3983968
1467139512.04159,3984424
1467139811.462,3984838
1467140111.81913,3985277
1467140412.63948,3985736
1467140712.03751,3986223
1467141011.9759,3986694
1467141311.8448,3987077
1467141611.85669,3987504
1467141911.69766,3987903
1467142212.56036,3988381
1467142512.13346,3988876
1467142811.82801,3989306
1467143111.74104,3989760
1467143411.35014,3990193
1467143712.25414,3990660
1467144012.39204,3991146
1467144311.73329,3991584
1467144611.6528,3992032
1467145212.34759,3992915
1467145511.74376,3993362
1467145813.07287,3993767
1467146111.99393,3994211
1467146411.94504,3994621
1467146711.79995,3995032
1467147011.61138,3995491
1467147311.35702,3995971
1467147613.17486,3996375
1467147911.3154,3996783
1467148212.71021,3997224
1467148513.23959,3997616
1467148812.23732,3998138
1467149112.11091,3998635
1467149413.36085,3999100
1467149712.82822,3999561
1467150012.51113,4000028
1467150312.03378,4000485
1467150612.20258,4000931
1467150912.37183,4001315
1467151212.47988,4001664
1467151513.0584,4002036
1467151812.89,4002402
1467152112.46821,4002755
1467152412.44427,4003090
1467152719.64244,4003445
1467153014.37266,4003746
1467153315.79751,4004027
1467153624.67134,4004287
1467153914.14326,4004529
1467154211.92143,4004751
1467154512.88878,4004986
1467154812.77767,4005195
1467155113.02934,4005412
1467155428.47689,4005581
1467155711.78298,4005718
1467156012.43575,4005863
1467156312.75015,4006013
1467156613.29044,4006151
1467156912.68297,4006283
1467157212.3937,4006413
1467157511.58798,4006516
1467157812.15581,4006609
1467158112.19294,4006701
1467158412.70041,4006798
1467158711.32765,4006871
1467159012.06843,4006946
1467159312.57764,4007009
1467159612.29981,4007079
1467159911.61816,4007126
1467160212.3343,4007181
1467160511.87971,4007239
1467160812.10477,4007290
1467161111.50731,4007348
1467161412.1223,4007389
1467161711.70957,4007446
1467162012.11604,4007488
1467162312.12593,4007529
1467162611.90964,4007562
1467162912.26666,4007604
1467163211.86074,4007646
1467163513.10455,4007680
1467163813.34431,4007716
1467164112.06756,4007744
1467164412.01661,4007777
1467164711.67615,4007814
1467165011.71936,4007851
1467165313.48097,4007887
1467165613.55116,4007909
1467165912.19612,4007932
1467166212.18373,4007964
1467166512.13467,4008002
1467166811.97254,4008031
1467167112.12537,4008051
1467167412.70373,4008079
1467167711.75064,4008098
1467168011.29577,4008125
1467168311.86299,4008145
1467168611.58596,4008166
1467168911.52985,4008184
1467169212.42876,4008213
1467169511.60448,4008235
1467169811.56593,4008262
1467170112.09328,4008285
1467170411.29194,4008308
1467170711.52141,4008337
1467171012.84231,4008352
1467171311.32409,4008371
1467171612.24269,4008391
1467171912.34641,4008406
1467172211.87989,4008433
1467172511.70059,4008456
1467172812.03623,4008479
1467173111.60691,4008500
1467173410.99364,4008524
1467174011.82247,4008575
1467174311.1124,4008607
1467174613.00529,4008639
1467174911.71385,4008664
1467175212.24335,4008699
1467175511.81158,4008729
1467175811.54417,4008770
1467176111.74695,4008810
1467176413.02651,4008866
1467176712.10833,4008907
1467177012.34573,4008971
1467177311.94258,4009046
1467177611.72587,4009109
1467177911.12179,4009184
1467178212.53446,4009271
1467178512.18584,4009346
1467178812.11018,4009460
1467179111.50273,4009577
1467179412.03688,4009724
1467179712.09028,4009855
1467180012.20248,4009996
1467180311.36838,4010125
1467180611.45774,4010263
1467180912.02125,4010413
1467181212.35436,4010573
1467181512.20546,4010757
1467181812.60522,4010940
1467182113.04937,4011121
1467182411.76304,4011282
1467182711.7592,4011477
1467183012.23883,4011690
1467183312.97683,4011899
1467183613.38591,4012129
1467183911.47049,4012343
1467184211.81076,4012572
1467184512.19114,4012813
1467184811.89044,4013033
1467185111.37395,4013288
1467185412.98236,4013514
1467185711.62692,4013751
1467186011.26591,4014016
1467186311.71953,4014281
1467186611.86763,4014541
1467186911.58898,4014799
1467187212.84583,4015087
1467187511.9853,4015349
1467187812.04742,4015569
1467188111.8108,4015851
1467188412.77865,4016114
1467188711.51353,4016409
1467189012.33547,4016705
1467189312.29874,4016976
1467189611.99955,4017232
1467189911.44176,4017518
1467190211.21687,4017819
1467190511.93874,4018105
1467190812.64834,4018386
1467191111.59228,4018672
1467191411.67848,4018949
1467192011.38187,4019500
1467192311.6726,4019795
1467192612.32039,4020069
1467192911.72333,4020327
1467193211.56838,4020608
1467193512.27123,4020882
1467193811.83164,4021176
1467194112.4024,4021439
1467194412.65959,4021690
1467194711.59408,4021987
1467195011.8196,4022291
1467195611.82835,4022811
1467195911.4772,4023039
1467196212.25587,4023299
1467196511.20625,4023563
1467196811.8021,4023838
1467197111.73305,4024099
1467197411.24044,4024374
1467197712.14069,4024680
1467198311.59182,4025172
1467198612.8996,4025449
1467198911.44056,4025704
1467199210.88065,4025958
1467199512.36045,4026180
1467199812.96502,4026421
1467200111.88126,4026676
1467200411.84492,4026935
1467200711.29917,4027179
1467201012.36702,4027463
1467201312.70762,4027761
1467201612.29654,4028088
1467201912.28299,4028338
1467202212.01305,4028621
1467202511.8295,4028895
1467202811.52464,4029164
1467203111.37461,4029418
1467203413.00109,4029672
1467203711.6355,4029904
1467204011.50759,4030131
1467204312.05173,4030343
1467204611.9785,4030578
1467204911.51273,4030828
1467205212.5172,4031075
1467205511.49162,4031299
1467205811.11154,4031506
1467206112.54168,4031712
1467206411.47552,4031940
1467206711.7423,4032159
1467207012.29446,4032367
1467207312.07492,4032591
1467207612.14874,4032828
1467207912.3936,4033043
1467208211.85124,4033262
1467208511.88031,4033481
1467208812.66425,4033729
1467209112.29312,4033960
1467209411.8121,4034160
1467209713.52029,4034379
1467210011.54543,4034566
1467210311.15833,4034781
1467210612.55656,4035003
1467210911.94028,4035201
1467211211.65925,4035384
1467211512.29106,4035572
1467211812.10567,4035775
1467212111.97115,4035998
1467212412.38761,4036215
1467212712.2959,4036422
1467213011.55513,4036658
1467213311.35121,4036885
1467213611.34844,4037090
1467213913.026,4037330
1467214212.82281,4037520
1467214511.28913,4037761
1467214811.92698,4037983
1467215111.78272,4038224
1467215410.96503,4038446
1467234933.78861,4051357
1467235821.41539,4051929
1467236111.79865,4052086
1467236729.43611,4052456
1467237011.48002,4052598
1467237312.23749,4052752
1467237613.27043,4052945
1467237911.40597,4053099
1467238212.30085,4053242
1467238512.67702,4053377
1467238812.47239,4053508
1467239113.19627,4053653
1467239413.74159,4053773
1467239712.5765,4053875
1467240012.53448,4053998
1467240312.49416,4054083
1467240612.76587,4054168
1467240911.63955,4054259
1467241212.33672,4054336
1467241511.81657,4054404
1467241811.80492,4054470
1467242113.10454,4054530
1467242411.62445,4054591
1467242711.38008,4054629
1467243012.71206,4054678
1467243311.88327,4054745
1467243612.02466,4054798
1467243911.43987,4054849
1467244211.44527,4054899
1467244512.48657,4054930
1467244812.83734,4054966
1467245111.80776,4055005
1467245412.07392,4055038
1467245711.65095,4055071
1467246011.71631,4055100
1467246311.10091,4055127
1467246612.05839,4055151
1467246911.75316,4055178
1467247211.72259,4055203
1467247512.65095,4055228
1467247812.034,4055251
1467248111.95553,4055276
1467248412.23887,4055303
1467248711.77543,4055328
1467249011.12422,4055349
1467249312.39131,4055364
1467249613.62087,4055393
1467249912.92191,4055406
1467250212.6936,4055435
1467250512.47877,4055451
1467250812.91006,4055462
1467251111.8462,4055480
1467251413.50624,4055499
1467251712.13277,4055515
1467252013.30123,4055534
1467252312.18806,4055548
1467252612.36812,4055565
1467252912.78194,4055583
1467253211.76604,4055591
1467253510.96276,4055601
1467253812.6054,4055613
1467254111.62204,4055626
1467254412.14625,4055636
1467254711.46128,4055650
1467255011.63131,4055661
1467255311.85072,4055671
1467255612.56094,4055679
1467255911.61477,4055690
1467256211.67232,4055698
1467256511.9914,4055706
1467256811.73216,4055716
1467257112.25837,4055737
1467257412.91483,4055745
1467257711.88216,4055753
1467258012.22296,4055758
1467258312.44659,4055773
1467258611.75606,4055785
1467258911.59013,4055792
1467259212.78635,4055805
1467259511.75077,4055814
1467259812.04435,4055824
